instructions.started,instructions.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,start_set.started,start_set.stopped,key_resp_start_set.keys,key_resp_start_set.rt,key_resp_start_set.duration,study.started,study.stopped,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,list_id,theme,study_word,language,timer.started,timer.stopped,distractor.started,distractor.stopped,key_resp.keys,key_resp.rt,key_resp.duration,distractor_loop.thisRepN,distractor_loop.thisTrialN,distractor_loop.thisN,distractor_loop.thisIndex,distractor_loop.ran,problem,correct_resp,start_test.started,start_test.stopped,key_resp_start_test.keys,key_resp_start_test.rt,key_resp_start_test.duration,test.started,test.stopped,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,test_word,word_type,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,blocks_loop.ran,block_id,study_rows,test_rows,end.started,end.stopped
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,,,,,,,,1,,,TR,,,,,,,,,,,,,,left,,,,,,101.559,102.432,left,1,0.859,,0,1,1,3,1,araba,distractor,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,,,,,,,,1,,,TR,,,,,,,,,,,,,,left,,,,,,102.434,103.549,right,0,1.102,,0,2,2,4,1,uyku,critical_lure,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,,,,,,,,1,,,TR,,,,,,,,,,,,,,right,,,,,,103.55,104.465,right,1,0.905,,0,3,3,1,1,lamba,old,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,,,,,,,,1,,,TR,,,,,,,,,,,,,,right,,,,,,104.466,105.248,right,1,0.77,,0,4,4,0,1,yatak,old,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0:12,0:5,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,105.25,107.548,space,2.287,,107.558,109.049,0,0,0,0,1,3,soğuk,kış,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,109.051,110.549,0,1,1,1,1,3,soğuk,buz,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,110.55,112.048,0,2,2,2,1,3,soğuk,kar,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,112.051,113.549,0,3,3,3,1,3,soğuk,üşümek,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,113.552,115.049,0,4,4,4,1,3,soğuk,dondurucu,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
