instructions.started,instructions.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,start_set.started,start_set.stopped,key_resp_start_set.keys,key_resp_start_set.rt,key_resp_start_set.duration,study.started,study.stopped,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,list_id,theme,study_word,language,timer.started,timer.stopped,distractor.started,distractor.stopped,key_resp.keys,key_resp.rt,key_resp.duration,distractor_loop.thisRepN,distractor_loop.thisTrialN,distractor_loop.thisN,distractor_loop.thisIndex,distractor_loop.ran,problem,correct_resp,start_test.started,start_test.stopped,key_resp_start_test.keys,key_resp_start_test.rt,key_resp_start_test.duration,test.started,test.stopped,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,test_word,word_type,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,blocks_loop.ran,block_id,study_rows,test_rows,end.started,end.stopped
0.0006,49.536,space,49.5184,,366852,001,2026-05-10_01h04.00.082,false_memory_experiment,2026.1.3,MacIntel,123.4567901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,366852,001,2026-05-10_01h04.00.082,false_memory_experiment,2026.1.3,MacIntel,123.4567901,49.5535,52.3031,space,2.7343,,52.3186,53.8032,0,0,0,0,1,5,sweet,sugar,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,366852,001,2026-05-10_01h04.00.082,false_memory_experiment,2026.1.3,MacIntel,123.4567901,,,,,,53.8045,55.3028,0,1,1,1,1,5,sweet,candy,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,366852,001,2026-05-10_01h04.00.082,false_memory_experiment,2026.1.3,MacIntel,123.4567901,,,,,,55.3041,56.8031,0,2,2,2,1,5,sweet,sour,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,366852,001,2026-05-10_01h04.00.082,false_memory_experiment,2026.1.3,MacIntel,123.4567901,,,,,,56.8047,58.3024,0,3,3,3,1,5,sweet,bitter,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,366852,001,2026-05-10_01h04.00.082,false_memory_experiment,2026.1.3,MacIntel,123.4567901,,,,,,58.3028,59.8029,0,4,4,4,1,5,sweet,chocolate,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,366852,001,2026-05-10_01h04.00.082,false_memory_experiment,2026.1.3,MacIntel,123.4567901,,,,,,59.8048,61.3024,0,5,5,5,1,5,sweet,taste,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,366852,001,2026-05-10_01h04.00.082,false_memory_experiment,2026.1.3,MacIntel,123.4567901,,,,,,61.3029,62.8017,0,6,6,6,1,5,sweet,honey,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,366852,001,2026-05-10_01h04.00.082,false_memory_experiment,2026.1.3,MacIntel,123.4567901,,,,,,62.8024,64.3028,0,7,7,7,1,5,sweet,cake,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,366852,001,2026-05-10_01h04.00.082,false_memory_experiment,2026.1.3,MacIntel,123.4567901,,,,,,64.3041,65.8029,0,8,8,8,1,5,sweet,cookie,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
