instructions.started,instructions.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,start_set.started,start_set.stopped,key_resp_start_set.keys,key_resp_start_set.rt,key_resp_start_set.duration,study.started,study.stopped,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,list_id,theme,study_word,language,timer.started,timer.stopped,distractor.started,distractor.stopped,key_resp.keys,key_resp.rt,key_resp.duration,distractor_loop.thisRepN,distractor_loop.thisTrialN,distractor_loop.thisN,distractor_loop.thisIndex,distractor_loop.ran,problem,correct_resp,start_test.started,start_test.stopped,key_resp_start_test.keys,key_resp_start_test.rt,key_resp_start_test.duration,test.started,test.stopped,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,test_word,word_type,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,blocks_loop.ran,block_id,study_rows,test_rows,end.started,end.stopped
0.0002,31.4399,space,31.4285,,948662,001,2026-05-11_13h53.04.966,false_memory_experiment,2026.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948662,001,2026-05-11_13h53.04.966,false_memory_experiment,2026.1.3,Win32,59.88023952,31.4586,34.7367,space,3.2625,,34.7547,36.2352,0,0,0,0,1,2,tatlı,şeker,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948662,001,2026-05-11_13h53.04.966,false_memory_experiment,2026.1.3,Win32,59.88023952,,,,,,36.2378,37.7351,0,1,1,1,1,2,tatlı,çikolata,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948662,001,2026-05-11_13h53.04.966,false_memory_experiment,2026.1.3,Win32,59.88023952,,,,,,37.7377,39.2358,0,2,2,2,1,2,tatlı,pasta,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948662,001,2026-05-11_13h53.04.966,false_memory_experiment,2026.1.3,Win32,59.88023952,,,,,,39.2379,40.7353,0,3,3,3,1,2,tatlı,bal,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948662,001,2026-05-11_13h53.04.966,false_memory_experiment,2026.1.3,Win32,59.88023952,,,,,,40.7377,42.2351,0,4,4,4,1,2,tatlı,reçel,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948662,001,2026-05-11_13h53.04.966,false_memory_experiment,2026.1.3,Win32,59.88023952,,,,,,42.2374,43.7352,0,5,5,5,1,2,tatlı,kek,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948662,001,2026-05-11_13h53.04.966,false_memory_experiment,2026.1.3,Win32,59.88023952,,,,,,43.7373,45.2348,0,6,6,6,1,2,tatlı,kurabiye,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948662,001,2026-05-11_13h53.04.966,false_memory_experiment,2026.1.3,Win32,59.88023952,,,,,,45.2372,46.7353,0,7,7,7,1,2,tatlı,dondurma,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948662,001,2026-05-11_13h53.04.966,false_memory_experiment,2026.1.3,Win32,59.88023952,,,,,,46.7378,48.2353,0,8,8,8,1,2,tatlı,gofret,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948662,001,2026-05-11_13h53.04.966,false_memory_experiment,2026.1.3,Win32,59.88023952,,,,,,48.2375,49.735,0,9,9,9,1,2,tatlı,lokum,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948662,001,2026-05-11_13h53.04.966,false_memory_experiment,2026.1.3,Win32,59.88023952,,,,,,49.7374,51.235,0,10,10,10,1,2,tatlı,şerbet,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
