instructions.started,instructions.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,start_set.started,start_set.stopped,key_resp_start_set.keys,key_resp_start_set.rt,key_resp_start_set.duration,study.started,study.stopped,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,list_id,theme,study_word,language,timer.started,timer.stopped,distractor.started,distractor.stopped,key_resp.keys,key_resp.rt,key_resp.duration,distractor_loop.thisRepN,distractor_loop.thisTrialN,distractor_loop.thisN,distractor_loop.thisIndex,distractor_loop.ran,problem,correct_resp,start_test.started,start_test.stopped,key_resp_start_test.keys,key_resp_start_test.rt,key_resp_start_test.duration,test.started,test.stopped,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,test_word,word_type,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,blocks_loop.ran,block_id,study_rows,test_rows,end.started,end.stopped
0.0003,25.4332,space,25.4209,,934106,001,2026-05-10_17h09.15.049,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,934106,001,2026-05-10_17h09.15.049,false_memory_experiment,2026.1.3,MacIntel,60.24096386,25.449,27.1834,space,1.7128,,27.1967,28.683,0,0,0,0,1,2,tatlı,şeker,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,934106,001,2026-05-10_17h09.15.049,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,28.6843,30.183,0,1,1,1,1,2,tatlı,çikolata,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,934106,001,2026-05-10_17h09.15.049,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,30.1844,31.6829,0,2,2,2,1,2,tatlı,pasta,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,934106,001,2026-05-10_17h09.15.049,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,31.6842,33.182,0,3,3,3,1,2,tatlı,bal,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,934106,001,2026-05-10_17h09.15.049,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,33.1833,34.6819,0,4,4,4,1,2,tatlı,reçel,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,934106,001,2026-05-10_17h09.15.049,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,34.6832,36.1819,0,5,5,5,1,2,tatlı,kek,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,934106,001,2026-05-10_17h09.15.049,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,36.1831,37.682,0,6,6,6,1,2,tatlı,kurabiye,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,934106,001,2026-05-10_17h09.15.049,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,37.6833,39.1819,0,7,7,7,1,2,tatlı,dondurma,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,934106,001,2026-05-10_17h09.15.049,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,39.1832,40.6819,0,8,8,8,1,2,tatlı,gofret,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
